Gate,X Parameter,Y Parameter,Count,%Total,%Gated
R2,BL1-A,YL2-A,1,0.010,50.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1,0.010,0.010
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,63,0.630,0.630
R3,BL1-A,YL2-A,63,0.630,70.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,90,0.900,0.900
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,115,1.150,1.150
LG1,,,2,0.020,0.020
GFP+,BL1-A,,89,0.890,48.901
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,182,1.820,1.820
mCh+,YL2-A,,5,0.050,2.747
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,182,1.820,1.820
R1,FSC-H,SSC-H,182,1.820,1.820
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,93,0.930,51.099
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,77,0.770,42.308
mCherry+/GFP-,YL2-A,BL1-A,12,0.120,6.593
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,182,1.820,1.820
R2,BL1-A,YL2-A,5,0.050,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,5,0.050,0.050
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,5,0.050,0.050
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,68,0.680,0.680
R3,BL1-A,YL2-A,68,0.680,76.404
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,89,0.890,0.890
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,182,1.820,1.820
LG1,,,5,0.050,0.050
GFP+,BL1-A,,5,0.050,1.767
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,283,2.830,2.830
mCh+,YL2-A,,1,0.010,0.353
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,283,2.830,2.830
R1,FSC-H,SSC-H,283,2.830,2.830
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4,0.040,1.413
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.353
mCherry-/GFP-,YL2-A,BL1-A,278,2.780,98.233
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,283,2.830,2.830
R2,BL1-A,YL2-A,0,0.000,0.000
R4,BL1-A,YL2-A,1,0.010,100.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4,0.040,0.040
R3,BL1-A,YL2-A,4,0.040,80.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,5,0.050,0.050
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,1,0.010,0.010
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,283,2.830,2.830
LG1,,,1,0.010,0.010
GFP+,BL1-A,,6,0.060,1.322
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,454,4.540,4.540
mCh+,YL2-A,,2,0.020,0.441
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,454,4.540,4.540
R1,FSC-H,SSC-H,454,4.540,4.540
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,5,0.050,1.101
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.220
mCherry-/GFP-,YL2-A,BL1-A,446,4.460,98.238
mCherry+/GFP-,YL2-A,BL1-A,2,0.020,0.441
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,454,4.540,4.540
R2,BL1-A,YL2-A,1,0.010,50.000
R4,BL1-A,YL2-A,1,0.010,50.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1,0.010,0.010
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,4,0.040,0.040
R3,BL1-A,YL2-A,4,0.040,66.667
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,6,0.060,0.060
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,1,0.010,0.010
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,454,4.540,4.540
LG1,,,2,0.020,0.020
GFP+,BL1-A,,38,0.380,5.094
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,746,7.460,7.460
mCh+,YL2-A,,2,0.020,0.268
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,746,7.460,7.460
R1,FSC-H,SSC-H,746,7.460,7.460
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,40,0.400,5.362
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,704,7.040,94.370
mCherry+/GFP-,YL2-A,BL1-A,2,0.020,0.268
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,746,7.460,7.460
R2,BL1-A,YL2-A,2,0.020,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,2,0.020,0.020
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,34,0.340,0.340
R3,BL1-A,YL2-A,34,0.340,89.474
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,38,0.380,0.380
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,746,7.460,7.460
LG1,,,2,0.020,0.020
GFP+,BL1-A,,30,0.300,5.282
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,568,5.680,5.680
mCh+,YL2-A,,1,0.010,0.176
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,568,5.680,5.680
R1,FSC-H,SSC-H,568,5.680,5.680
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,32,0.320,5.634
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,534,5.340,94.014
mCherry+/GFP-,YL2-A,BL1-A,2,0.020,0.352
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,568,5.680,5.680
R2,BL1-A,YL2-A,1,0.010,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1,0.010,0.010
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,26,0.260,0.260
R3,BL1-A,YL2-A,26,0.260,86.667
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,30,0.300,0.300
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,568,5.680,5.680
LG1,,,1,0.010,0.010
GFP+,BL1-A,,55,0.550,8.088
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,680,6.800,6.800
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,680,6.800,6.800
R1,FSC-H,SSC-H,680,6.800,6.800
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,57,0.570,8.382
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,618,6.180,90.882
mCherry+/GFP-,YL2-A,BL1-A,5,0.050,0.735
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,680,6.800,6.800
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,42,0.420,0.420
R3,BL1-A,YL2-A,42,0.420,76.364
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,55,0.550,0.550
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,680,6.800,6.800
LG1,,,0,0.000,0.000
GFP+,BL1-A,,16,0.160,2.974
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,538,5.380,5.380
mCh+,YL2-A,,10,0.100,1.859
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,538,5.380,5.380
R1,FSC-H,SSC-H,538,5.380,5.380
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,17,0.170,3.160
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,488,4.880,90.706
mCherry+/GFP-,YL2-A,BL1-A,33,0.330,6.134
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,538,5.380,5.380
R2,BL1-A,YL2-A,8,0.080,80.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,10,0.100,0.100
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,8,0.080,0.080
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,12,0.120,0.120
R3,BL1-A,YL2-A,12,0.120,75.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,16,0.160,0.160
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,538,5.380,5.380
LG1,,,10,0.100,0.100
GFP+,BL1-A,,49,0.490,18.846
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,260,2.600,2.600
mCh+,YL2-A,,3,0.030,1.154
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,260,2.600,2.600
R1,FSC-H,SSC-H,260,2.600,2.600
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,49,0.490,18.846
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.385
mCherry-/GFP-,YL2-A,BL1-A,206,2.060,79.231
mCherry+/GFP-,YL2-A,BL1-A,4,0.040,1.538
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,260,2.600,2.600
R2,BL1-A,YL2-A,2,0.020,66.667
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,3,0.030,0.030
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,2,0.020,0.020
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,39,0.390,0.390
R3,BL1-A,YL2-A,39,0.390,79.592
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,49,0.490,0.490
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,260,2.600,2.600
LG1,,,3,0.030,0.030
GFP+,BL1-A,,133,1.330,39.466
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,337,3.370,3.370
mCh+,YL2-A,,2,0.020,0.593
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,337,3.370,3.370
R1,FSC-H,SSC-H,337,3.370,3.370
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,134,1.340,39.763
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,193,1.930,57.270
mCherry+/GFP-,YL2-A,BL1-A,10,0.100,2.967
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,337,3.370,3.370
R2,BL1-A,YL2-A,2,0.020,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,2,0.020,0.020
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,111,1.110,1.110
R3,BL1-A,YL2-A,111,1.110,83.459
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,133,1.330,1.330
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,337,3.370,3.370
LG1,,,2,0.020,0.020
GFP+,BL1-A,,143,1.430,61.905
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,231,2.310,2.310
mCh+,YL2-A,,5,0.050,2.165
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,231,2.310,2.310
R1,FSC-H,SSC-H,231,2.310,2.310
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,144,1.440,62.338
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.433
mCherry-/GFP-,YL2-A,BL1-A,71,0.710,30.736
mCherry+/GFP-,YL2-A,BL1-A,15,0.150,6.494
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,231,2.310,2.310
R2,BL1-A,YL2-A,4,0.040,80.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,5,0.050,0.050
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,4,0.040,0.040
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,107,1.070,1.070
R3,BL1-A,YL2-A,107,1.070,74.825
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,143,1.430,1.430
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,231,2.310,2.310
LG1,,,5,0.050,0.050
GFP+,BL1-A,,4,0.040,80.000
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,5,0.050,0.050
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,5,0.050,0.050
R1,FSC-H,SSC-H,5,0.050,0.050
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,4,0.040,80.000
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,1,0.010,20.000
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,5,0.050,0.050
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,3,0.030,0.030
R3,BL1-A,YL2-A,3,0.030,75.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,4,0.040,0.040
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,5,0.050,0.050
LG1,,,0,0.000,0.000
GFP+,BL1-A,,40,0.400,28.571
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,140,1.400,1.400
mCh+,YL2-A,,3,0.030,2.143
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,140,1.400,1.400
R1,FSC-H,SSC-H,140,1.400,1.400
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,42,0.420,30.000
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.714
mCherry-/GFP-,YL2-A,BL1-A,89,0.890,63.571
mCherry+/GFP-,YL2-A,BL1-A,8,0.080,5.714
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,140,1.400,1.400
R2,BL1-A,YL2-A,2,0.020,66.667
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,3,0.030,0.030
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,2,0.020,0.020
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,29,0.290,0.290
R3,BL1-A,YL2-A,29,0.290,72.500
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,40,0.400,0.400
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,140,1.400,1.400
LG1,,,3,0.030,0.030
GFP+,BL1-A,,3,0.030,1.056
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,284,2.840,2.840
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,284,2.840,2.840
R1,FSC-H,SSC-H,284,2.840,2.840
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,3,0.030,1.056
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,281,2.810,98.944
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,284,2.840,2.840
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1,0.010,0.010
R3,BL1-A,YL2-A,1,0.010,33.333
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,3,0.030,0.030
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,284,2.840,2.840
LG1,,,0,0.000,0.000
GFP+,BL1-A,,2,0.020,0.485
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,412,4.120,4.120
mCh+,YL2-A,,2,0.020,0.485
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,412,4.120,4.120
R1,FSC-H,SSC-H,412,4.120,4.120
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,1,0.010,0.243
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.243
mCherry-/GFP-,YL2-A,BL1-A,408,4.080,99.029
mCherry+/GFP-,YL2-A,BL1-A,2,0.020,0.485
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,412,4.120,4.120
R2,BL1-A,YL2-A,1,0.010,50.000
R4,BL1-A,YL2-A,1,0.010,50.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1,0.010,0.010
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,1,0.010,0.010
R3,BL1-A,YL2-A,1,0.010,50.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,2,0.020,0.020
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,1,0.010,0.010
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,412,4.120,4.120
LG1,,,2,0.020,0.020
GFP+,BL1-A,,25,0.250,3.536
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,707,7.070,7.070
mCh+,YL2-A,,1,0.010,0.141
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,707,7.070,7.070
R1,FSC-H,SSC-H,707,7.070,7.070
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,26,0.260,3.678
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,678,6.780,95.898
mCherry+/GFP-,YL2-A,BL1-A,3,0.030,0.424
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,707,7.070,7.070
R2,BL1-A,YL2-A,1,0.010,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,1,0.010,0.010
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,21,0.210,0.210
R3,BL1-A,YL2-A,21,0.210,84.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,25,0.250,0.250
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,707,7.070,7.070
LG1,,,1,0.010,0.010
GFP+,BL1-A,,11,0.110,1.830
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,601,6.010,6.010
mCh+,YL2-A,,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,601,6.010,6.010
R1,FSC-H,SSC-H,601,6.010,6.010
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,12,0.120,1.997
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,589,5.890,98.003
mCherry+/GFP-,YL2-A,BL1-A,0,0.000,0.000
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,601,6.010,6.010
R2,BL1-A,YL2-A,0,0.000,N/A
R4,BL1-A,YL2-A,0,0.000,N/A
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,0,0.000,0.000
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,9,0.090,0.090
R3,BL1-A,YL2-A,9,0.090,81.818
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,11,0.110,0.110
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,601,6.010,6.010
LG1,,,0,0.000,0.000
GFP+,BL1-A,,14,0.140,1.966
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,712,7.120,7.120
mCh+,YL2-A,,1,0.010,0.140
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,712,7.120,7.120
R1,FSC-H,SSC-H,712,7.120,7.120
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,16,0.160,2.247
mCherry+/GFP+,YL2-A,BL1-A,1,0.010,0.140
mCherry-/GFP-,YL2-A,BL1-A,690,6.900,96.910
mCherry+/GFP-,YL2-A,BL1-A,5,0.050,0.702
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,712,7.120,7.120
R2,BL1-A,YL2-A,0,0.000,0.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,1,0.010,0.010
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,0,0.000,0.000
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,13,0.130,0.130
R3,BL1-A,YL2-A,13,0.130,92.857
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,14,0.140,0.140
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,712,7.120,7.120
LG1,,,1,0.010,0.010
GFP+,BL1-A,,15,0.150,2.768
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,542,5.420,5.420
mCh+,YL2-A,,2,0.020,0.369
All Events,YL2-A,,10000,100.000,100.000
R1,YL2-A,,542,5.420,5.420
R1,FSC-H,SSC-H,542,5.420,5.420
All Events,FSC-H,SSC-H,10000,100.000,100.000
mCherry-/GFP+,YL2-A,BL1-A,16,0.160,2.952
mCherry+/GFP+,YL2-A,BL1-A,0,0.000,0.000
mCherry-/GFP-,YL2-A,BL1-A,506,5.060,93.358
mCherry+/GFP-,YL2-A,BL1-A,20,0.200,3.690
All Events,YL2-A,BL1-A,10000,100.000,100.000
R1,YL2-A,BL1-A,542,5.420,5.420
R2,BL1-A,YL2-A,2,0.020,100.000
R4,BL1-A,YL2-A,0,0.000,0.000
All Events,BL1-A,YL2-A,10000,100.000,100.000
mCh+,BL1-A,YL2-A,2,0.020,0.020
All Events,YL2-A,,10000,100.000,100.000
R2,YL2-A,,2,0.020,0.020
All Events,BL1-A,,10000,100.000,100.000
R3,BL1-A,,11,0.110,0.110
R3,BL1-A,YL2-A,11,0.110,73.333
All Events,BL1-A,YL2-A,10000,100.000,100.000
GFP+,BL1-A,YL2-A,15,0.150,0.150
All Events,FSC-A,SSC-A,10000,100.000,100.000
R4,FSC-A,SSC-A,0,0.000,0.000
All Events,FSC-A,FSC-H,10000,100.000,100.000
R1,FSC-A,FSC-H,542,5.420,5.420
LG1,,,2,0.020,0.020
GFP+,BL1-A,,18,0.180,7.004
All Events,BL1-A,,10000,100.000,100.000
R1,BL1-A,,257,2.570,2.570
